Time [seconds]	Counts
4.98532e+11	145
1.4956e+12	102
2.49266e+12	124
3.48972e+12	147
4.48679e+12	103
5.48385e+12	111
6.48092e+12	121
7.47798e+12	123
8.47505e+12	125
9.47211e+12	130
1.04692e+13	100
1.14662e+13	117
1.24633e+13	113
1.34604e+13	127
1.44574e+13	122
1.54545e+13	119
1.64516e+13	142
1.74486e+13	137
1.84457e+13	127
1.94428e+13	104
2.04398e+13	125
2.14369e+13	130
2.24339e+13	134
2.3431e+13	109
2.44281e+13	130
2.54251e+13	129
2.64222e+13	104
2.74193e+13	137
2.84163e+13	123
2.94134e+13	135
3.04105e+13	123
3.14075e+13	130
3.24046e+13	108
3.34017e+13	130
3.43987e+13	123
3.53958e+13	130
3.63928e+13	126
3.73899e+13	114
3.8387e+13	109
3.9384e+13	106
4.03811e+13	137
4.13782e+13	119
4.23752e+13	109
4.33723e+13	112
4.43694e+13	125
4.53664e+13	122
4.63635e+13	133
4.73605e+13	109
4.83576e+13	130
4.93547e+13	121
5.03517e+13	124
5.13488e+13	121
5.23459e+13	114
5.33429e+13	149
5.434e+13	112
5.53371e+13	110
5.63341e+13	135
5.73312e+13	121
5.83283e+13	121
5.93253e+13	140
6.03224e+13	130
6.13194e+13	111
6.23165e+13	126
6.33136e+13	145
6.43106e+13	125
6.53077e+13	124
6.63048e+13	123
6.73018e+13	117
6.82989e+13	151
6.9296e+13	117
7.0293e+13	117
7.12901e+13	122
7.22872e+13	115
7.32842e+13	118
7.42813e+13	124
7.52783e+13	102
7.62754e+13	109
7.72725e+13	115
7.82695e+13	108
7.92666e+13	118
8.02637e+13	115
8.12607e+13	126
8.22578e+13	131
8.32549e+13	120
8.42519e+13	116
8.5249e+13	121
8.62461e+13	131
8.72431e+13	114
8.82402e+13	125
8.92372e+13	146
9.02343e+13	128
9.12314e+13	125
9.22284e+13	103
9.32255e+13	144
9.42226e+13	123
9.52196e+13	139
9.62167e+13	128
9.72138e+13	135
9.82108e+13	118
9.92079e+13	120
1.00205e+14	109
1.01202e+14	113
1.02199e+14	134
1.03196e+14	133
1.04193e+14	123
1.0519e+14	120
1.06187e+14	114
1.07184e+14	114
1.08181e+14	107
1.09179e+14	114
1.10176e+14	123
1.11173e+14	121
1.1217e+14	123
1.13167e+14	133
1.14164e+14	131
1.15161e+14	102
1.16158e+14	120
1.17155e+14	113
1.18152e+14	104
1.19149e+14	128
1.20146e+14	134
1.21143e+14	112
1.2214e+14	122
1.23137e+14	123
1.24134e+14	99
1.25132e+14	116
1.26129e+14	116
1.27126e+14	123
1.28123e+14	113
1.2912e+14	131
1.30117e+14	111
1.31114e+14	114
1.32111e+14	121
1.33108e+14	117
1.34105e+14	117
1.35102e+14	122
1.36099e+14	132
1.37096e+14	133
1.38093e+14	128
1.3909e+14	127
1.40088e+14	120
1.41085e+14	114
1.42082e+14	111
1.43079e+14	133
1.44076e+14	127
1.45073e+14	122
1.4607e+14	138
1.47067e+14	123
1.48064e+14	121
1.49061e+14	105
1.50058e+14	92
1.51055e+14	121
1.52052e+14	107
1.53049e+14	115
1.54046e+14	102
1.55043e+14	121
1.56041e+14	120
1.57038e+14	128
1.58035e+14	120
1.59032e+14	110
1.60029e+14	116
1.61026e+14	125
1.62023e+14	111
1.6302e+14	125
1.64017e+14	142
1.65014e+14	117
1.66011e+14	123
1.67008e+14	127
1.68005e+14	113
1.69002e+14	117
1.69999e+14	111
1.70997e+14	124
1.71994e+14	113
1.72991e+14	141
1.73988e+14	133
1.74985e+14	137
1.75982e+14	129
1.76979e+14	102
1.77976e+14	125
1.78973e+14	108
1.7997e+14	144
1.80967e+14	123
1.81964e+14	112
1.82961e+14	130
1.83958e+14	117
1.84955e+14	102
1.85952e+14	132
1.8695e+14	145
1.87947e+14	99
1.88944e+14	116
1.89941e+14	125
1.90938e+14	116
1.91935e+14	114
1.92932e+14	117
1.93929e+14	134
1.94926e+14	141
1.95923e+14	144
1.9692e+14	123
1.97917e+14	128
1.98914e+14	112
1.99911e+14	127
2.00908e+14	109
2.01906e+14	130
2.02903e+14	127
2.039e+14	122
2.04897e+14	102
2.05894e+14	122
2.06891e+14	117
2.07888e+14	92
2.08885e+14	112
2.09882e+14	106
2.10879e+14	105
2.11876e+14	145
2.12873e+14	138
2.1387e+14	137
2.14867e+14	109
2.15864e+14	115
2.16861e+14	120
2.17859e+14	122
2.18856e+14	110
2.19853e+14	102
2.2085e+14	124
2.21847e+14	132
2.22844e+14	122
2.23841e+14	96
2.24838e+14	128
2.25835e+14	113
2.26832e+14	142
2.27829e+14	114
2.28826e+14	114
2.29823e+14	124
2.3082e+14	120
2.31817e+14	127
2.32814e+14	132
2.33812e+14	106
2.34809e+14	123
2.35806e+14	113
2.36803e+14	147
2.378e+14	114
2.38797e+14	140
2.39794e+14	109
2.40791e+14	130
2.41788e+14	141
2.42785e+14	116
2.43782e+14	101
2.44779e+14	116
2.45776e+14	110
2.46773e+14	110
2.4777e+14	125
2.48768e+14	125
2.49765e+14	113
2.50762e+14	119
2.51759e+14	127
2.52756e+14	138
2.53753e+14	118
2.5475e+14	115
2.55747e+14	118
2.56744e+14	129
2.57741e+14	102
2.58738e+14	119
2.59735e+14	121
2.60732e+14	119
2.61729e+14	133
2.62726e+14	141
2.63723e+14	94
2.64721e+14	113
2.65718e+14	124
2.66715e+14	127
2.67712e+14	122
2.68709e+14	120
2.69706e+14	126
2.70703e+14	127
2.717e+14	105
2.72697e+14	97
2.73694e+14	113
2.74691e+14	123
2.75688e+14	133
2.76685e+14	124
2.77682e+14	123
2.78679e+14	120
2.79677e+14	132
2.80674e+14	113
2.81671e+14	118
2.82668e+14	114
2.83665e+14	118
2.84662e+14	141
2.85659e+14	134
2.86656e+14	131
2.87653e+14	115
2.8865e+14	115
2.89647e+14	137
2.90644e+14	119
2.91641e+14	116
2.92638e+14	122
2.93635e+14	150
2.94632e+14	120
2.9563e+14	112
2.96627e+14	100
2.97624e+14	121
2.98621e+14	102
2.99618e+14	130
