Channel	Counts
0.499969	39
1.49991	1
2.49985	0
3.49979	0
4.49973	0
5.49966	1
6.4996	0
7.49954	0
8.49948	0
9.49942	0
10.4994	0
11.4993	0
12.4992	0
13.4992	0
14.4991	0
15.4991	0
16.499	0
17.4989	0
18.4989	0
19.4988	0
20.4987	0
21.4987	0
22.4986	0
23.4986	0
24.4985	0
25.4984	0
26.4984	0
27.4983	1
28.4983	0
29.4982	0
30.4981	0
31.4981	0
32.498	0
33.498	0
34.4979	0
35.4978	0
36.4978	0
37.4977	1
38.4977	0
39.4976	1
40.4975	0
41.4975	1
42.4974	0
43.4973	1
44.4973	1
45.4972	0
46.4972	0
47.4971	1
48.497	0
49.497	0
50.4969	0
51.4969	0
52.4968	1
53.4967	0
54.4967	0
55.4966	0
56.4966	0
57.4965	1
58.4964	0
59.4964	0
60.4963	0
61.4962	0
62.4962	0
63.4961	0
64.4961	2
65.496	0
66.4959	0
67.4959	0
68.4958	1
69.4958	0
70.4957	1
71.4956	0
72.4956	0
73.4955	0
74.4955	0
75.4954	0
76.4953	1
77.4953	1
78.4952	0
79.4951	1
80.4951	0
81.495	0
82.495	0
83.4949	0
84.4948	1
85.4948	0
86.4947	1
87.4947	1
88.4946	0
89.4945	0
90.4945	0
91.4944	0
92.4944	0
93.4943	0
94.4942	0
95.4942	0
96.4941	1
97.494	0
98.494	0
99.4939	0
100.494	0
101.494	1
102.494	1
103.494	0
104.494	1
105.494	0
106.493	0
107.493	0
108.493	0
109.493	1
110.493	0
111.493	1
112.493	1
113.493	1
114.493	3
115.493	2
116.493	1
117.493	3
118.493	1
119.493	0
120.493	0
121.493	1
122.493	0
123.492	1
124.492	0
125.492	0
126.492	0
127.492	0
128.492	0
129.492	0
130.492	5
131.492	1
132.492	5
133.492	3
134.492	0
135.492	4
136.492	1
137.492	5
138.492	0
139.491	4
140.491	4
141.491	5
142.491	9
143.491	5
144.491	3
145.491	7
146.491	6
147.491	4
148.491	8
149.491	10
150.491	8
151.491	17
152.491	8
153.491	11
154.491	7
155.491	6
156.49	13
157.49	18
158.49	14
159.49	11
160.49	13
161.49	17
162.49	22
163.49	23
164.49	28
165.49	22
166.49	24
167.49	24
168.49	34
169.49	21
170.49	27
171.49	33
172.489	19
173.489	32
174.489	30
175.489	40
176.489	32
177.489	35
178.489	28
179.489	41
180.489	32
181.489	36
182.489	41
183.489	28
184.489	32
185.489	42
186.489	48
187.489	42
188.488	35
189.488	49
190.488	50
