Time [ns]	Counts
-1995	0
-1985	2
-1975	1
-1965	2
-1955	3
-1945	1
-1935	1
-1925	1
-1915	3
-1905	2
-1895	1
-1885	2
-1875	2
-1865	2
-1855	2
-1845	0
-1835	1
-1825	2
-1815	1
-1805	1
-1795	1
-1785	2
-1775	2
-1765	3
-1755	1
-1745	1
-1735	3
-1725	0
-1715	0
-1705	2
-1695	1
-1685	0
-1675	0
-1665	0
-1655	0
-1645	3
-1635	2
-1625	2
-1615	1
-1605	1
-1595	1
-1585	2
-1575	0
-1565	1
-1555	0
-1545	1
-1535	3
-1525	0
-1515	0
-1505	2
-1495	0
-1485	1
-1475	0
-1465	1
-1455	1
-1445	0
-1435	2
-1425	1
-1415	1
-1405	2
-1395	0
-1385	0
-1375	0
-1365	2
-1355	2
-1345	1
-1335	1
-1325	2
-1315	2
-1305	1
-1295	2
-1285	3
-1275	2
-1265	1
-1255	0
-1245	1
-1235	0
-1225	2
-1215	3
-1205	2
-1195	1
-1185	2
-1175	0
-1165	0
-1155	3
-1145	1
-1135	0
-1125	3
-1115	3
-1105	1
-1095	2
-1085	2
-1075	0
-1065	0
-1055	0
-1045	3
-1035	0
-1025	3
-1015	1
-1005	2
-995	1
-985	2
-975	2
-965	4
-955	2
-945	3
-935	1
-925	1
-915	2
-905	1
-895	2
-885	3
-875	4
-865	0
-855	1
-845	0
-835	0
-825	3
-815	1
-805	2
-795	2
-785	1
-775	2
-765	0
-755	2
-745	1
-735	2
-725	2
-715	0
-705	1
-695	1
-685	2
-675	1
-665	2
-655	2
-645	0
-635	6
-625	1
-615	1
-605	1
-595	1
-585	0
-575	2
-565	0
-555	1
-545	1
-535	3
-525	1
-515	3
-505	2
-495	0
-485	0
-475	2
-465	3
-455	1
-445	0
-435	3
-425	1
-415	0
-405	4
-395	0
-385	2
-375	1
-365	3
-355	0
-345	1
-335	2
-325	3
-315	1
-305	0
-295	1
-285	1
-275	0
-265	0
-255	1
-245	1
-235	0
-225	0
-215	2
-205	3
-195	1
-185	1
-175	2
-165	1
-155	2
-145	0
-135	2
-125	1
-115	1
-105	0
-95	1
-85	3
-75	2
-65	1
-55	1
-45	0
-35	0
-25	5
-15	1575
-5	1145
5	4
15	5
25	1
35	1
45	0
55	0
65	2
75	0
85	1
95	2
105	3
115	3
125	2
135	3
145	1
155	1
165	2
175	1
185	1
195	3
205	1
215	0
225	3
235	1
245	2
255	0
265	2
275	1
285	1
295	1
305	2
315	1
325	4
335	1
345	1
355	0
365	0
375	1
385	3
395	1
405	2
415	2
425	2
435	0
445	0
455	2
465	0
475	2
485	0
495	1
505	0
515	1
525	1
535	0
545	1
555	2
565	1
575	0
585	0
595	1
605	1
615	1
625	0
635	3
645	0
655	1
665	1
675	3
685	2
695	2
705	3
715	3
725	0
735	1
745	1
755	3
765	0
775	2
785	0
795	1
805	3
815	1
825	4
835	2
845	1
855	2
865	2
875	3
885	2
895	2
905	0
915	1
925	2
935	2
945	0
955	0
965	2
975	3
985	3
995	1
1005	2
1015	0
1025	2
1035	3
1045	1
1055	1
1065	1
1075	3
1085	0
1095	2
1105	1
1115	2
1125	1
1135	3
1145	0
1155	2
1165	2
1175	3
1185	0
1195	0
1205	1
1215	0
1225	3
1235	2
1245	1
1255	2
1265	2
1275	1
1285	1
1295	4
1305	1
1315	1
1325	0
1335	0
1345	3
1355	0
1365	0
1375	2
1385	1
1395	1
1405	1
1415	1
1425	1
1435	0
1445	0
1455	3
1465	1
1475	1
1485	1
1495	0
1505	3
1515	2
1525	1
1535	3
1545	0
1555	0
1565	2
1575	2
1585	1
1595	1
1605	2
1615	1
1625	2
1635	0
1645	1
1655	0
1665	1
1675	1
1685	1
1695	1
1705	1
1715	3
1725	3
1735	1
1745	2
1755	1
1765	2
1775	2
1785	0
1795	3
1805	5
1815	1
1825	4
1835	0
1845	0
1855	0
1865	2
1875	5
1885	1
1895	0
1905	2
1915	1
1925	2
1935	4
1945	3
1955	1
1965	2
1975	1
1985	1
1995	1
