Time [seconds]	Counts
4.98484e+11	92
1.49545e+12	103
2.49242e+12	94
3.48939e+12	107
4.48636e+12	103
5.48333e+12	100
6.4803e+12	108
7.47726e+12	97
8.47423e+12	94
9.4712e+12	110
1.04682e+13	97
1.14651e+13	111
1.24621e+13	103
1.34591e+13	96
1.4456e+13	106
1.5453e+13	95
1.645e+13	98
1.74469e+13	109
1.84439e+13	97
1.94409e+13	125
2.04379e+13	108
2.14348e+13	102
2.24318e+13	101
2.34288e+13	110
2.44257e+13	96
2.54227e+13	102
2.64197e+13	82
2.74166e+13	103
2.84136e+13	107
2.94106e+13	103
3.04075e+13	106
3.14045e+13	97
3.24015e+13	120
3.33984e+13	110
3.43954e+13	103
3.53924e+13	87
3.63893e+13	95
3.73863e+13	85
3.83833e+13	107
3.93803e+13	97
4.03772e+13	95
4.13742e+13	106
4.23712e+13	84
4.33681e+13	89
4.43651e+13	96
4.53621e+13	100
4.6359e+13	99
4.7356e+13	104
4.8353e+13	95
4.93499e+13	110
5.03469e+13	102
5.13439e+13	95
5.23408e+13	86
5.33378e+13	97
5.43348e+13	97
5.53318e+13	112
5.63287e+13	93
5.73257e+13	111
5.83227e+13	95
5.93196e+13	116
6.03166e+13	108
6.13136e+13	110
6.23105e+13	112
6.33075e+13	92
6.43045e+13	91
6.53014e+13	101
6.62984e+13	111
6.72954e+13	98
6.82923e+13	109
6.92893e+13	96
7.02863e+13	90
7.12832e+13	85
7.22802e+13	98
7.32772e+13	108
7.42742e+13	112
7.52711e+13	130
7.62681e+13	116
7.72651e+13	99
7.8262e+13	100
7.9259e+13	92
8.0256e+13	79
8.12529e+13	115
8.22499e+13	104
8.32469e+13	108
8.42438e+13	112
8.52408e+13	111
8.62378e+13	73
8.72347e+13	117
8.82317e+13	113
8.92287e+13	89
9.02256e+13	111
9.12226e+13	92
9.22196e+13	101
9.32166e+13	109
9.42135e+13	116
9.52105e+13	88
9.62075e+13	106
9.72044e+13	89
9.82014e+13	101
9.91984e+13	104
1.00195e+14	100
1.01192e+14	96
1.02189e+14	110
1.03186e+14	102
1.04183e+14	95
1.0518e+14	116
1.06177e+14	113
1.07174e+14	97
1.08171e+14	110
1.09168e+14	95
1.10165e+14	106
1.11162e+14	108
1.12159e+14	102
1.13156e+14	96
1.14153e+14	99
1.1515e+14	92
1.16147e+14	109
1.17144e+14	104
1.18141e+14	97
1.19138e+14	99
1.20135e+14	108
1.21132e+14	108
1.22129e+14	91
1.23126e+14	114
1.24123e+14	90
1.2512e+14	87
1.26117e+14	82
