Time [seconds]	Counts
4.98514e+11	104
1.49554e+12	127
2.49257e+12	115
3.4896e+12	135
4.48662e+12	110
5.48365e+12	112
6.48068e+12	107
7.47771e+12	91
8.47473e+12	116
9.47176e+12	113
1.04688e+13	121
1.14658e+13	135
1.24628e+13	111
1.34599e+13	122
1.44569e+13	118
1.54539e+13	109
1.6451e+13	116
1.7448e+13	119
1.8445e+13	123
1.9442e+13	122
2.04391e+13	114
2.14361e+13	120
2.24331e+13	111
2.34301e+13	125
2.44272e+13	132
2.54242e+13	108
2.64212e+13	117
2.74183e+13	136
2.84153e+13	108
2.94123e+13	112
3.04093e+13	162
3.14064e+13	112
3.24034e+13	121
3.34004e+13	128
3.43975e+13	140
3.53945e+13	107
3.63915e+13	115
3.73885e+13	138
3.83856e+13	136
3.93826e+13	132
4.03796e+13	134
4.13766e+13	109
4.23737e+13	106
4.33707e+13	138
4.43677e+13	113
4.53648e+13	114
4.63618e+13	122
4.73588e+13	116
4.83558e+13	110
4.93529e+13	128
5.03499e+13	120
5.13469e+13	108
5.23439e+13	111
5.3341e+13	99
5.4338e+13	119
5.5335e+13	108
5.63321e+13	114
5.73291e+13	116
5.83261e+13	115
5.93231e+13	126
6.03202e+13	130
6.13172e+13	124
6.23142e+13	131
6.33113e+13	101
6.43083e+13	106
6.53053e+13	113
6.63023e+13	118
6.72994e+13	100
6.82964e+13	104
6.92934e+13	126
7.02904e+13	135
7.12875e+13	133
7.22845e+13	125
7.32815e+13	135
7.42786e+13	111
7.52756e+13	122
7.62726e+13	110
7.72696e+13	116
7.82667e+13	136
7.92637e+13	126
8.02607e+13	140
8.12578e+13	120
8.22548e+13	120
8.32518e+13	116
8.42488e+13	125
8.52459e+13	113
8.62429e+13	115
8.72399e+13	117
8.82369e+13	143
8.9234e+13	134
9.0231e+13	128
9.1228e+13	124
9.22251e+13	114
9.32221e+13	127
9.42191e+13	118
9.52161e+13	99
9.62132e+13	116
9.72102e+13	135
9.82072e+13	119
9.92042e+13	111
1.00201e+14	126
1.01198e+14	133
1.02195e+14	114
1.03192e+14	121
1.04189e+14	127
1.05186e+14	123
1.06183e+14	124
1.0718e+14	114
1.08177e+14	98
1.09175e+14	109
1.10172e+14	114
1.11169e+14	99
1.12166e+14	103
1.13163e+14	132
1.1416e+14	123
1.15157e+14	115
1.16154e+14	120
1.17151e+14	129
1.18148e+14	111
1.19145e+14	122
1.20142e+14	125
1.21139e+14	101
1.22136e+14	124
1.23133e+14	126
1.2413e+14	129
1.25127e+14	115
1.26124e+14	124
1.27121e+14	120
1.28118e+14	114
1.29115e+14	115
1.30112e+14	140
1.31109e+14	137
1.32106e+14	114
1.33103e+14	122
1.341e+14	132
1.35097e+14	146
1.36094e+14	105
1.37091e+14	96
1.38088e+14	105
1.39085e+14	100
1.40082e+14	115
1.41079e+14	116
1.42076e+14	112
1.43073e+14	122
1.4407e+14	107
1.45068e+14	120
1.46065e+14	141
1.47062e+14	106
1.48059e+14	100
1.49056e+14	111
1.50053e+14	126
1.5105e+14	133
1.52047e+14	110
1.53044e+14	112
1.54041e+14	121
1.55038e+14	136
1.56035e+14	96
1.57032e+14	117
1.58029e+14	103
1.59026e+14	107
1.60023e+14	110
1.6102e+14	132
1.62017e+14	119
1.63014e+14	141
1.64011e+14	121
1.65008e+14	133
1.66005e+14	142
1.67002e+14	114
1.67999e+14	118
1.68996e+14	105
1.69993e+14	120
1.7099e+14	113
1.71987e+14	142
1.72984e+14	126
1.73981e+14	132
1.74978e+14	122
1.75975e+14	94
1.76972e+14	101
1.77969e+14	130
1.78966e+14	119
1.79963e+14	138
1.80961e+14	128
1.81958e+14	123
1.82955e+14	122
1.83952e+14	122
1.84949e+14	108
1.85946e+14	126
1.86943e+14	120
1.8794e+14	109
1.88937e+14	106
1.89934e+14	117
1.90931e+14	110
1.91928e+14	110
1.92925e+14	120
1.93922e+14	100
1.94919e+14	117
1.95916e+14	127
1.96913e+14	112
1.9791e+14	116
1.98907e+14	150
1.99904e+14	108
2.00901e+14	94
2.01898e+14	123
2.02895e+14	112
2.03892e+14	120
2.04889e+14	118
2.05886e+14	120
2.06883e+14	139
2.0788e+14	125
2.08877e+14	108
2.09874e+14	111
2.10871e+14	111
2.11868e+14	105
2.12865e+14	124
2.13862e+14	120
2.14859e+14	111
2.15856e+14	128
2.16854e+14	134
2.17851e+14	137
2.18848e+14	128
2.19845e+14	106
2.20842e+14	120
2.21839e+14	106
2.22836e+14	127
2.23833e+14	114
2.2483e+14	129
2.25827e+14	111
2.26824e+14	119
2.27821e+14	126
2.28818e+14	120
2.29815e+14	106
2.30812e+14	120
2.31809e+14	107
2.32806e+14	122
2.33803e+14	125
2.348e+14	123
2.35797e+14	136
2.36794e+14	125
2.37791e+14	131
2.38788e+14	123
2.39785e+14	124
2.40782e+14	143
2.41779e+14	127
2.42776e+14	126
2.43773e+14	120
2.4477e+14	143
2.45767e+14	121
2.46764e+14	101
2.47761e+14	111
2.48758e+14	142
2.49755e+14	108
2.50752e+14	122
2.51749e+14	105
2.52746e+14	118
2.53744e+14	97
2.54741e+14	108
2.55738e+14	119
2.56735e+14	148
2.57732e+14	103
2.58729e+14	136
2.59726e+14	112
2.60723e+14	136
2.6172e+14	116
2.62717e+14	127
2.63714e+14	133
2.64711e+14	129
2.65708e+14	116
2.66705e+14	126
2.67702e+14	111
2.68699e+14	118
2.69696e+14	117
2.70693e+14	114
2.7169e+14	105
2.72687e+14	123
2.73684e+14	134
2.74681e+14	120
2.75678e+14	114
2.76675e+14	118
2.77672e+14	121
2.78669e+14	122
2.79666e+14	126
2.80663e+14	123
2.8166e+14	125
2.82657e+14	119
2.83654e+14	128
2.84651e+14	116
2.85648e+14	113
2.86645e+14	147
2.87642e+14	130
2.88639e+14	114
2.89637e+14	138
2.90634e+14	125
2.91631e+14	131
2.92628e+14	104
2.93625e+14	139
2.94622e+14	126
2.95619e+14	114
2.96616e+14	121
2.97613e+14	125
2.9861e+14	124
2.99607e+14	116
